ctrader-cli : ctrader-cli.exe backtest C:\Users\Administrator\Documents\cAlgo\Sources\Robots\Combo.algo C:\Users\Admini
strator\Documents\cAlgo\Sources\Robots\research\cli_batches\Combo_leverage_probe_20260903-093610\US500\params.cbotset 
--start=01/01/2026 --end=28/02/2026 --data-mode=Ticks --ctid=votuankiet96@gmail.com 
--pwd-file=C:\Users\Administrator\.ctrader-cli-pwd.txt --account=7563609 --broker=FTMO Platform --symbol=US500.cash 
--period=h1 --full-access --report-json=C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\cli_batches\Comb
o_leverage_probe_20260903-093610\US500\report.json
    + CategoryInfo          : NotSpecified: (ctrader-cli.exe...500\report.json:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Backtesting cBot with parameters:
---------------------------------------------------------------------------
| Name                 | Value                     | Source               |
---------------------------------------------------------------------------
| Symbol               | US500.cash                | cmd arg              |
| Period               | h1                        | cmd arg              |
| Start                | 01/01/2026 00:00          | cmd arg              |
| End                  | 28/02/2026 00:00          | cmd arg              |
| Balance              | 0                         | default value        |
| DataMode             | Ticks                     | cmd arg              |
| Commission           | 0                         | default value        |
| Spread               | 0                         | default value        |
|                      |                           |                      |
| SignalFilePath       | Z:\Desktop\og_program\... | cbotset              |
| KslLevel             | 3                         | cbotset              |
| KtpLevel             | 7                         | cbotset              |
| RiskPercent          | 1                         | cbotset              |
| MaxMarginPercent     | 1                         | cbotset              |
| EnableDailyLossLimit | False                     | default value        |
| MaxDailyLossPercent  | 5                         | default value        |
| EnableMaxDrawdown    | False                     | default value        |
| MaxTotalDrawdownP... | 10                        | default value        |
| EnableMaxConsecut... | False                     | default value        |
| MaxConsecutiveLosses | 5                         | default value        |
---------------------------------------------------------------------------
03/09/2026 16:36:13.675 | Establishing connection using votuankiet96@gmail.com...
03/09/2026 16:36:15.923 | The connection has been established.
Login to 7563609...
Logged in.
Starting cBot...
Progress | Backtesting | 0.00 % |
Progress | Loading US500.cash, h1 | 100.00 % |
Info | CBot instance [Combo, US500.cash, h1] started.
Progress | Backtesting | 1.63 % |
Progress | Backtesting | 1.98 % |
Progress | Backtesting | 1.99 % |
Progress | Backtesting | 2.35 % |
Progress | Backtesting | 2.64 % |
Progress | Backtesting | 2.73 % |
Progress | Backtesting | 2.86 % |
Progress | Backtesting | 2.91 % |
Progress | Backtesting | 2.99 % |
Progress | Backtesting | 3.09 % |
Progress | Backtesting | 6.71 % |
Progress | Backtesting | 6.85 % |
Progress | Backtesting | 7.30 % |
Progress | Backtesting | 7.73 % |
Progress | Backtesting | 7.85 % |
Progress | Backtesting | 8.04 % |
Progress | Backtesting | 8.50 % |
Progress | Backtesting | 9.57 % |
Progress | Backtesting | 10.55 % |
Progress | Backtesting | 11.37 % |
Progress | Backtesting | 12.21 % |
Progress | Backtesting | 12.91 % |
Progress | Backtesting | 13.18 % |
Progress | Backtesting | 14.00 % |
Progress | Backtesting | 14.60 % |
Progress | Backtesting | 14.74 % |
Progress | Backtesting | 18.76 % |
Progress | Backtesting | 19.47 % |
Progress | Backtesting | 20.08 % |
Progress | Backtesting | 21.20 % |
Progress | Backtesting | 21.45 % |
Progress | Backtesting | 21.70 % |
Progress | Backtesting | 22.77 % |
Progress | Backtesting | 23.11 % |
Progress | Backtesting | 23.24 % |
Progress | Backtesting | 23.55 % |
Progress | Backtesting | 24.20 % |
Progress | Backtesting | 24.78 % |
Progress | Backtesting | 25.12 % |
Progress | Backtesting | 26.23 % |
Progress | Backtesting | 26.57 % |
Progress | Backtesting | 30.50 % |
Progress | Backtesting | 31.05 % |
Progress | Backtesting | 31.51 % |
Progress | Backtesting | 32.20 % |
Progress | Backtesting | 32.74 % |
Progress | Backtesting | 32.95 % |
Progress | Backtesting | 33.22 % |
Progress | Backtesting | 33.33 % |
Progress | Backtesting | 33.49 % |
Progress | Backtesting | 33.90 % |
Progress | Backtesting | 34.46 % |
