ctrader-cli : ctrader-cli.exe backtest 
C:\Users\Administrator\Documents\cAlgo\Sources\Robots\Combo.algo C:\Users\Admin
istrator\Documents\cAlgo\Sources\Robots\research\cli_runs\Combo_US30.cash_h1_20
260903-013002\params.cbotset --start=01/01/2026 --end=30/01/2026 
--data-mode=Ticks --ctid=votuankiet96@gmail.com 
--pwd-file=C:\Users\Administrator\.ctrader-cli-pwd.txt --account=7563609 
--broker=FTMO Platform --symbol=US30.cash --period=h1 --full-access --report-js
on=C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\cli_runs\Comb
o_US30.cash_h1_20260903-013002\report.json
    + CategoryInfo          : NotSpecified: (ctrader-cli.exe...002\report.json 
   :String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Backtesting cBot with parameters:
---------------------------------------------------------------------------
| Name                 | Value                     | Source               |
---------------------------------------------------------------------------
| Symbol               | US30.cash                 | cmd arg              |
| Period               | h1                        | cmd arg              |
| Start                | 01/01/2026 00:00          | cmd arg              |
| End                  | 30/01/2026 00:00          | cmd arg              |
| Balance              | 0                         | default value        |
| DataMode             | Ticks                     | cmd arg              |
| Commission           | 0                         | default value        |
| Spread               | 0                         | default value        |
|                      |                           |                      |
| SignalFilePath       | Z:\Desktop\og_program\... | cbotset              |
| KslLevel             | 3                         | cbotset              |
| KtpLevel             | 7                         | cbotset              |
| RiskPercent          | 1                         | cbotset              |
| MaxMarginPercent     | 20                        | cbotset              |
| EnableDailyLossLimit | False                     | default value        |
| MaxDailyLossPercent  | 5                         | default value        |
| EnableMaxDrawdown    | False                     | default value        |
| MaxTotalDrawdownP... | 10                        | default value        |
| EnableMaxConsecut... | False                     | default value        |
| MaxConsecutiveLosses | 5                         | default value        |
---------------------------------------------------------------------------
03/09/2026 08:30:05.007 | Establishing connection using votuankiet96@gmail.com...
03/09/2026 08:30:07.297 | The connection has been established.
Login to 7563609...
Logged in.
Starting cBot...
Progress | Backtesting | 0.00 % |
Info | CBot instance [Combo, US30.cash, h1] started.
Progress | Backtesting | 3.21 % |
Progress | Backtesting | 4.56 % |
Progress | Backtesting | 4.72 % |
Progress | Backtesting | 4.76 % |
Progress | Backtesting | 4.93 % |
Progress | Backtesting | 5.37 % |
Progress | Backtesting | 5.39 % |
Progress | Backtesting | 5.43 % |
Progress | Backtesting | 5.47 % |
Progress | Backtesting | 5.51 % |
Progress | Backtesting | 5.55 % |
Progress | Backtesting | 5.58 % |
Progress | Backtesting | 5.62 % |
Progress | Backtesting | 5.67 % |
Progress | Backtesting | 5.74 % |
Progress | Backtesting | 5.83 % |
Progress | Backtesting | 5.95 % |
Progress | Backtesting | 6.07 % |
Progress | Backtesting | 6.20 % |
Progress | Backtesting | 13.32 % |
Progress | Backtesting | 13.45 % |
Progress | Backtesting | 14.43 % |
Progress | Backtesting | 14.66 % |
Progress | Backtesting | 15.16 % |
Progress | Backtesting | 15.40 % |
Progress | Backtesting | 15.51 % |
Progress | Backtesting | 15.69 % |
Progress | Backtesting | 15.86 % |
Progress | Backtesting | 16.14 % |
Progress | Backtesting | 16.72 % |
Progress | Backtesting | 18.21 % |
Progress | Backtesting | 18.74 % |
Progress | Backtesting | 18.86 % |
Progress | Backtesting | 18.99 % |
Progress | Backtesting | 19.34 % |
Progress | Backtesting | 20.00 % |
Progress | Backtesting | 21.68 % |
Progress | Backtesting | 22.10 % |
Progress | Backtesting | 22.21 % |
Progress | Backtesting | 22.45 % |
Progress | Backtesting | 22.69 % |
Progress | Backtesting | 22.91 % |
Progress | Backtesting | 23.54 % |
Progress | Backtesting | 24.47 % |
Progress | Backtesting | 25.18 % |
Progress | Backtesting | 25.42 % |
Progress | Backtesting | 25.53 % |
Progress | Backtesting | 25.65 % |
Progress | Backtesting | 25.80 % |
Progress | Backtesting | 26.01 % |
Progress | Backtesting | 26.23 % |
Progress | Backtesting | 26.76 % |
Progress | Backtesting | 27.82 % |
Progress | Backtesting | 28.64 % |
Progress | Backtesting | 28.73 % |
Progress | Backtesting | 28.82 % |
Progress | Backtesting | 28.92 % |
Progress | Backtesting | 29.19 % |
Progress | Backtesting | 29.51 % |
Progress | Backtesting | 36.67 % |
Progress | Backtesting | 36.82 % |
Progress | Backtesting | 37.16 % |
Progress | Backtesting | 37.89 % |
Progress | Backtesting | 38.71 % |
Progress | Backtesting | 38.88 % |
Progress | Backtesting | 39.06 % |
Progress | Backtesting | 39.36 % |
Progress | Backtesting | 40.00 % |
Progress | Backtesting | 41.89 % |
Progress | Backtesting | 42.15 % |
Progress | Backtesting | 42.30 % |
Progress | Backtesting | 42.56 % |
Progress | Backtesting | 42.86 % |
Progress | Backtesting | 43.33 % |
Progress | Backtesting | 44.76 % |
Progress | Backtesting | 45.32 % |
Progress | Backtesting | 45.48 % |
Progress | Backtesting | 45.71 % |
Progress | Backtesting | 46.02 % |
Progress | Backtesting | 46.24 % |
Progress | Backtesting | 46.67 % |
Progress | Backtesting | 47.53 % |
Progress | Backtesting | 48.46 % |
Progress | Backtesting | 48.77 % |
Progress | Backtesting | 48.89 % |
Progress | Backtesting | 49.06 % |
Progress | Backtesting | 49.25 % |
Progress | Backtesting | 49.45 % |
Progress | Backtesting | 49.68 % |
Progress | Backtesting | 50.33 % |
Progress | Backtesting | 51.64 % |
Progress | Backtesting | 52.04 % |
Progress | Backtesting | 52.27 % |
Progress | Backtesting | 52.66 % |
Progress | Backtesting | 60.00 % |
Progress | Backtesting | 61.03 % |
Progress | Backtesting | 61.61 % |
Progress | Backtesting | 63.33 % |
Progress | Backtesting | 64.47 % |
Progress | Backtesting | 64.99 % |
Progress | Backtesting | 65.32 % |
Progress | Backtesting | 65.42 % |
Progress | Backtesting | 65.53 % |
Progress | Backtesting | 65.63 % |
Progress | Backtesting | 65.81 % |
Progress | Backtesting | 66.01 % |
Progress | Backtesting | 66.22 % |
Progress | Backtesting | 66.67 % |
Progress | Backtesting | 67.85 % |
Progress | Backtesting | 68.48 % |
Progress | Backtesting | 68.70 % |
Progress | Backtesting | 68.82 % |
Progress | Backtesting | 68.97 % |
Progress | Backtesting | 69.12 % |
Progress | Backtesting | 69.31 % |
Progress | Backtesting | 69.49 % |
Progress | Backtesting | 70.00 % |
Progress | Backtesting | 71.18 % |
Progress | Backtesting | 72.03 % |
Progress | Backtesting | 72.18 % |
Progress | Backtesting | 72.36 % |
Progress | Backtesting | 72.67 % |
Progress | Backtesting | 73.24 % |
Progress | Backtesting | 74.35 % |
Progress | Backtesting | 74.97 % |
Progress | Backtesting | 75.41 % |
Progress | Backtesting | 75.66 % |
Progress | Backtesting | 75.96 % |
Progress | Backtesting | 83.25 % |
Progress | Backtesting | 83.51 % |
Progress | Backtesting | 84.27 % |
Progress | Backtesting | 85.04 % |
Progress | Backtesting | 85.36 % |
Progress | Backtesting | 85.49 % |
Progress | Backtesting | 85.77 % |
Progress | Backtesting | 86.08 % |
Progress | Backtesting | 86.67 % |
Progress | Backtesting | 87.86 % |
Progress | Backtesting | 88.70 % |
Progress | Backtesting | 88.89 % |
Progress | Backtesting | 89.20 % |
Progress | Backtesting | 89.52 % |
Progress | Backtesting | 90.23 % |
Progress | Backtesting | 91.60 % |
Progress | Backtesting | 92.07 % |
Progress | Backtesting | 92.28 % |
Progress | Backtesting | 92.60 % |
Progress | Backtesting | 92.80 % |
Progress | Backtesting | 92.96 % |
Progress | Backtesting | 93.33 % |
Progress | Backtesting | 93.65 % |
Progress | Backtesting | 94.48 % |
Progress | Backtesting | 94.97 % |
Progress | Backtesting | 95.36 % |
Progress | Backtesting | 95.45 % |
Progress | Backtesting | 95.53 % |
Progress | Backtesting | 95.66 % |
Progress | Backtesting | 95.82 % |
Progress | Backtesting | 96.00 % |
Progress | Backtesting | 96.25 % |
Progress | Backtesting | 96.67 % |
Progress | Backtesting | 97.12 % |
Progress | Backtesting | 97.77 % |
Progress | Backtesting | 98.06 % |
Progress | Backtesting | 98.40 % |
Progress | Backtesting | 98.69 % |
Progress | Backtesting | 98.78 % |
Progress | Backtesting | 98.89 % |
Progress | Backtesting | 98.99 % |
Progress | Backtesting | 99.13 % |
Progress | Backtesting | 99.25 % |
Progress | Backtesting | 99.38 % |
Progress | Backtesting | 99.58 % |
01/01/2026 23:05:00.002 | Info | Combo: loaded 4467 valid signal row(s) from CSV.
01/01/2026 23:05:00.002 | Info | Combo: signal scheduling active with chart timeframe h1 (01:00:00); CSV timeframe must match the chart timeframe.
02/01/2026 10:00:00.215 | Info | Combo: MARGIN GUARD - order size reduced. Signal wanted 3.38 units, which needs about $11023.46 margin. Limit hit: MaxMarginPercent limit hit (20.0% of equity = $2000.00 budget, free margin was $10000.00). Size was cut from 3.38 to 0.60 units. Real risk on this trade is now about $17.73 (0.18% of balance) instead of the requested 1.00%.
02/01/2026 10:00:00.215 | Trade | Placing Stop Order to Buy 0.6 US30.cash (Price: 48253.4, SL: 48223.8538032492, TP: 48330.76)
02/01/2026 10:00:00.215 | Trade |  Placing Stop Order to Buy 0.6 US30.cash (Price: 48253.4, SL: 48223.8538032492, TP: 48330.76) SUCCEEDED, PendingOrder OID1
02/01/2026 10:00:00.215 | Info | Combo: bartime=2026-01-02 09:00, executed=2026-01-02 10:00:00, pending Buy placed at 48253.4; SL=48223.853803249214, TP=48330.755576606425; valid for the next 3 chart bar(s).
02/01/2026 15:00:00.017 | Info | Combo: MARGIN GUARD - order size reduced. Signal wanted 1.30 units, which needs about $4239.79 margin. Limit hit: MaxMarginPercent limit hit (20.0% of equity = $1996.28 budget, free margin was $9981.40). Size was cut from 1.30 to 0.59 units. Real risk on this trade is now about $44.97 (0.45% of balance) instead of the requested 1.00%.
02/01/2026 15:00:00.017 | Trade | Placing Stop Order to Sell 0.59 US30.cash (Price: 47803.2, SL: 47879.4201064553, TP: 47603.65)
02/01/2026 15:00:00.017 | Trade |  Placing Stop Order to Sell 0.59 US30.cash (Price: 47803.2, SL: 47879.4201064553, TP: 47603.65) SUCCEEDED, PendingOrder OID4
02/01/2026 15:00:00.017 | Info | Combo: bartime=2026-01-02 14:00, executed=2026-01-02 15:00:00, pending Sell placed at 47803.2; SL=47879.4201064553, TP=47603.6463879536; valid for the next 3 chart bar(s).
02/01/2026 18:00:00.124 | Trade | Cancelling pending order OID4
02/01/2026 18:00:00.124 | Trade |  Cancelling pending order OID4 SUCCEEDED
02/01/2026 18:00:00.124 | Info | Combo: pending order 4 cancelled after 3 chart bars.
02/01/2026 20:00:00.017 | Info | Combo: MARGIN GUARD - order size reduced. Signal wanted 0.92 units, which needs about $3000.47 margin. Limit hit: MaxMarginPercent limit hit (20.0% of equity = $1996.28 budget, free margin was $9981.40). Size was cut from 0.92 to 0.59 units. Real risk on this trade is now about $63.46 (0.64% of balance) instead of the requested 1.00%.
02/01/2026 20:00:00.017 | Trade | Placing Stop Order to Buy 0.59 US30.cash (Price: 48410.3, SL: 48302.7371277407, TP: 48691.91)
02/01/2026 20:00:00.017 | Trade |  Placing Stop Order to Buy 0.59 US30.cash (Price: 48410.3, SL: 48302.7371277407, TP: 48691.91) SUCCEEDED, PendingOrder OID5
